,location,society,total_sqft,bath,balcony,price,bedrooms
0,Electronic City Phase II,Coomee ,1056.0,2.0,1.0,39.07,2
1,Chikka Tirupathi,Theanmp,2600.0,5.0,3.0,120.0,4
3,Lingadheeranahalli,Soiewre,1521.0,3.0,1.0,95.0,3
5,Whitefield,DuenaTa,1170.0,2.0,1.0,38.0,2
11,Whitefield,Prrry M,2785.0,5.0,3.0,295.0,4
12,7th Phase JP Nagar,Shncyes,1000.0,2.0,1.0,38.0,2
14,Sarjapur,Skityer,2250.0,3.0,2.0,148.0,3
15,Mysore Road,PrntaEn,1175.0,2.0,2.0,73.5,2
16,Bisuvanahalli,Prityel,1180.0,3.0,2.0,48.0,3
17,Raja Rajeshwari Nagar,GrrvaGr,1540.0,3.0,3.0,60.0,3
18,other,PeBayle,2770.0,4.0,2.0,290.0,3
21,Binny Pete,She 2rk,1755.0,3.0,1.0,122.0,3
22,Thanisandra,Soitya ,2800.0,5.0,2.0,380.0,4
24,other,Bhe 2ko,510.0,1.0,0.0,25.25,1
26,Electronic City,Itelaa ,660.0,1.0,1.0,23.1,2
28,Ramagondanahalli,ViistLa,1151.0,2.0,2.0,48.77,2
29,Electronic City,KBityo ,1025.0,2.0,1.0,47.0,3
30,Yelahanka,LedorSa,2475.0,4.0,0.0,186.0,4
31,Bisuvanahalli,Prityel,1075.0,2.0,1.0,35.0,3
32,Hebbal,Mahosya,1760.0,2.0,2.0,123.0,3
33,Raja Rajeshwari Nagar,GrrvaGr,1693.0,3.0,3.0,57.39,3
35,Kanakpura Road,PrarePa,700.0,2.0,1.0,36.0,2
37,Kundalahalli,Dieldli,1724.0,3.0,2.0,125.0,3
41,Sarjapur  Road,Soini T,1254.0,3.0,2.0,38.0,3
42,other,Ceove G,600.0,1.0,0.0,38.0,1
44,Kanakpura Road,Soazak ,1330.74,2.0,2.0,91.79,2
46,Doddathoguru,LancyRe,970.0,2.0,0.0,33.0,2
47,Whitefield,Goted U,1459.0,2.0,1.0,94.82,2
50,other,Bhncyis,1270.0,2.0,1.0,50.0,2
51,Bhoganhalli,Rosha I,1670.0,3.0,1.0,99.0,3
52,Whitefield,Suent V,2010.0,3.0,2.0,91.0,3
53,Lakshminarayana Pura,RothaVa,1185.0,2.0,2.0,75.0,2
54,Yelahanka,NCowsar,1600.0,2.0,3.0,75.0,3
55,Begur Road,Dhalsh ,1200.0,2.0,2.0,44.0,2
57,other,PeBayle,1500.0,2.0,2.0,185.0,2
61,other,Laavevi,845.0,2.0,1.0,55.0,2
62,Whitefield,Chranya,5700.0,5.0,3.0,650.0,4
63,Varthur,HioraTr,1160.0,2.0,2.0,44.0,2
66,Gunjur,BMineis,1140.0,2.0,3.0,43.0,2
71,Begur Road,Pruthg ,1358.0,2.0,1.0,80.58,2
72,Hegde Nagar,Sonosty,1569.0,3.0,1.0,101.0,3
73,Haralur Road,SNnia E,1240.0,2.0,1.0,70.0,2
74,Hennur Road,Anavi B,2089.0,3.0,2.0,140.0,3
77,other,Viony H,2511.0,3.0,3.0,205.0,3
80,other,AdentEl,1660.0,2.0,2.0,105.0,3
82,Yelahanka,Niareum,1326.0,2.0,2.0,78.0,2
84,EPIP Zone,SJlynro,1499.0,5.0,2.0,102.0,3
87,Dasanapura,Tavenew,708.0,2.0,2.0,37.0,2
88,Kasavanhalli,Srire S,1060.0,2.0,2.0,58.06,2
90,other,Saenti ,1000.0,2.0,2.0,70.0,2
94,Thanisandra,Bhmesy ,1296.0,2.0,3.0,80.0,2
96,Kengeri,Goardth,2894.0,4.0,1.0,245.0,4
100,Yeshwanthpur,IBityin,2502.0,3.0,3.0,138.0,3
101,Chandapura,KHityry,650.0,1.0,1.0,17.0,2
102,Kothanur,BDensar,2400.0,2.0,1.0,150.0,3
103,other,Makeser,1007.0,2.0,2.0,43.0,2
104,other,Maest N,1200.0,2.0,2.0,50.0,2
107,Rajaji Nagar,Brway G,1640.0,3.0,2.0,229.0,3
109,Devanahalli,Oznuean,1260.0,2.0,2.0,66.78,2
111,other,Reeroce,1413.0,2.0,2.0,75.0,3
112,Whitefield,Sonviik,1116.0,2.0,1.0,51.91,2
113,Electronic City,DSgmax ,1530.0,2.0,1.0,45.9,3
115,Sarjapur  Road,Cetattu,2497.0,3.0,2.0,140.0,3
116,Kengeri,Vaens G,1540.0,2.0,3.0,64.0,3
120,Thanisandra,Moity S,1427.0,3.0,2.0,120.0,3
121,Akshaya Nagar,HiahsLa,2061.0,3.0,1.0,200.0,3
122,Hebbal,SNontle,5611.5,4.0,0.0,477.0,4
124,Devanahalli,Sabixtt,1282.0,2.0,2.0,68.52,3
126,other,Sragei ,1600.0,3.0,2.0,65.0,3
128,Hormavu,SyidaCr,1500.0,2.0,1.0,78.0,2
130,other,Jahts H,1870.0,3.0,3.0,110.0,3
131,Sarjapur,Inensba,1600.0,3.0,1.0,75.0,3
134,Kudlu Gate,Srier P,1535.0,3.0,2.0,83.0,3
135,Kanakpura Road,Wiowsri,950.0,2.0,1.0,57.0,2
136,Devanahalli,Derdsig,1360.0,2.0,1.0,65.0,2
137,8th Phase JP Nagar,Vaarech,1073.5,2.0,0.0,54.005,2
139,other,TiaksAa,1260.0,2.0,2.0,85.05,3
141,Yelahanka,LedorSa,3050.0,5.0,1.0,213.0,5
142,Kasavanhalli,HMwerCo,1563.05,3.0,1.0,105.0,3
144,Anandapura,ViensRK,1167.0,2.0,1.0,43.76,2
147,Kengeri Satellite Town,HoiewLa,890.0,2.0,1.0,35.0,2
148,other,Dwity T,1612.0,3.0,3.0,46.74,3
150,Mysore Road,Brama P,1710.0,4.0,2.0,91.31,3
151,Kannamangala,VBownre,957.0,2.0,1.0,58.0,2
154,Hulimavu,Prcan P,1125.0,2.0,2.0,50.0,2
155,Electronic City Phase II,Sryalan,1020.0,2.0,1.0,30.6,2
157,Thanisandra,Soitya ,1735.0,3.0,3.0,135.0,3
158,Thanisandra,G conTh,2050.0,3.0,1.0,145.0,3
161,Hosa Road,SStusan,1063.0,2.0,1.0,32.0,2
162,other,ETens G,1904.0,3.0,1.0,150.0,3
164,other,Hohnari,2000.0,3.0,1.0,175.0,3
165,Sarjapur,Kinuerg,1242.5,2.0,0.0,43.49,2
166,other,Naods W,1425.0,2.0,2.0,75.0,3
167,Electronic City,GMown E,1500.0,2.0,1.0,64.5,3
168,Electronic City,GMown E,1060.0,2.0,1.0,60.0,2
169,other,Sancyra,1470.0,2.0,2.0,70.0,3
171,Attibele,Jae 1hu,450.0,1.0,1.0,11.0,1
172,Electronic City,Prarkun,1152.0,2.0,1.0,64.5,2
173,Electronic City,GMown E,1350.0,2.0,1.0,56.0,3
174,CV Raman Nagar,Srshq T,1550.0,3.0,3.0,65.0,3
178,Malleshwaram,Utntspa,705.0,1.0,2.0,67.0,1
179,Electronic City,GMown E,770.0,1.0,1.0,36.0,2
180,Hulimavu,Aniona ,1242.0,2.0,3.0,51.0,2
181,Hebbal Kempapura,Goateds,1700.0,3.0,2.0,155.0,3
182,Thanisandra,Soitya ,2144.0,3.0,2.0,145.0,3
183,Vijayanagar,Saahaat,1704.0,3.0,2.0,110.0,3
184,Electronic City,GMown E,1070.0,2.0,1.0,52.0,2
187,Electronic City,GMown E,1025.0,2.0,1.0,46.0,2
188,KR Puram,MCvarar,1277.5,2.0,0.0,56.8,2
